t,ib,Ts1,Ts2,Ts3,Ts4,Ts5,Ts6,Ts7,Tc1,Tc2,Tc3,Tc4,Tc5,Tc6,Tc7
75.8,7.24269434669057,35.5630765643751,35.5630765643751,35.5630765643751,35.5630765643751,35.5630765643751,35.5630765643751,35.5630765643751,35.8240526087184,35.8241717131619,35.8241096952194,35.8240142156332,35.8241043978766,35.8242434985717,35.8241852672159
75.9,7.24269434669057,35.5631692972303,35.5631692972303,35.5631692972303,35.5631692972303,35.5631692972303,35.5631692972303,35.5631692972303,35.8242151364907,35.8243346144165,35.8242743686482,35.8241775756691,35.8242666346448,35.8244064136783,35.8243477963736
76,7.24269434669057,35.563262515757,35.563262515757,35.563262515757,35.563262515757,35.563262515757,35.563262515757,35.563262515757,35.8243811742403,35.8245010255145,35.8244425509006,35.8243444452623,35.8244323813863,35.8245728385039,35.8245138355091
76.1,7.24269434669057,35.5633562691402,35.5633562691402,35.5633562691402,35.5633562691402,35.5633562691402,35.5633562691402,35.5633562691402,35.824550719085,35.8246709435738,35.8246142390951,35.8245148215309,35.824601635219,35.8247427701666,35.8246833817402
76.2,7.24269434669057,35.5634506052595,35.5634506052595,35.5634506052595,35.5634506052595,35.5634506052595,35.5634506052595,35.5634506052595,35.8247237681854,35.8248443657551,35.8247894303924,35.8246887016355,35.8247743933036,35.824916205827,35.8248564322276
76.3,7.24269434669057,35.5635455707236,35.5635455707236,35.5635455707236,35.5635455707236,35.5635455707236,35.5635455707236,35.5635455707236,35.8249003187435,35.8250212892603,35.824968121995,35.8248660827782,35.8249506528418,35.825093142687,35.8250329841732
76.4,7.24269434669057,35.5636412109032,35.5636412109032,35.5636412109032,35.5636412109032,35.5636412109032,35.5636412109032,35.5636412109032,35.8250803680016,35.8252017113318,35.8251503111454,35.8250469622014,35.8251304110761,35.8252735779891,35.8252130348193
76.5,7.24269434669057,35.5637375699633,35.5637375699633,35.5637375699633,35.5637375699633,35.5637375699633,35.5637375699633,35.5637375699633,35.8252639132412,35.825385629251,35.8253359951258,35.8252313371867,35.825313665288,35.8254575090148,35.8253965814475
76.6,7.24269434669057,35.5638346908944,35.5638346908944,35.5638346908944,35.5638346908944,35.5638346908944,35.5638346908944,35.5638346908944,35.8254509517821,35.825573040338,35.8255251712562,35.8254192050541,35.8255004127974,35.8256449330842,35.8255836213776
76.7,7.24269434669057,35.5639326155436,35.5639326155436,35.5639326155436,35.5639326155436,35.5639326155436,35.5639326155436,35.5639326155436,35.8256414809817,35.8257639419498,35.8257178368944,35.825610563161,35.8256906509615,35.8258358475544,35.8257741519667
76.8,7.24269434669057,35.5640313846442,35.5640313846442,35.5640313846442,35.5640313846442,35.5640313846442,35.5640313846442,35.5640313846442,35.8258354982332,35.8259583314802,35.825913989434,35.8258054089009,35.8258843771736,35.8260302498191,35.8259681706085
76.9,7.24269434669057,35.5641310378446,35.5641310378446,35.5641310378446,35.5641310378446,35.5641310378446,35.5641310378446,35.5641310378446,35.8260330009658,35.8261562063578,35.8261136263045,35.8260037397028,35.8260815888629,35.8262281373071,35.8261656747318
77,7.24269434669057,35.5642316137367,35.5642316137367,35.5642316137367,35.5642316137367,35.5642316137367,35.5642316137367,35.5642316137367,35.8262339866426,35.8263575640463,35.8263167449695,35.8262055530301,35.8262822834925,35.8264295074819,35.8263666617999
77.1,7.24269434669057,35.5643331498836,35.5643331498836,35.5643331498836,35.5643331498836,35.5643331498836,35.5643331498836,35.5643331498836,35.8264384527607,35.8265624020424,35.8265233429265,35.82641084638,35.8264864585595,35.8266343578406,35.8265711293098
77.2,7.24269434669057,35.5644356828464,35.5644356828464,35.5644356828464,35.5644356828464,35.5644356828464,35.5644356828464,35.5644356828464,35.8266463968497,35.826770717876,35.8267334177054,35.8266196172823,35.8266941115936,35.8268426859129,35.8267790747912
77.3,7.24269434669057,35.5645392482099,35.5645392482099,35.5645392482099,35.5645392482099,35.5645392482099,35.5645392482099,35.5645392482099,35.8268578164713,35.8269825091087,35.8269469668682,35.8268318632986,35.8269052401564,35.8270544892604,35.8269904958057
77.4,7.24269434669057,35.5646438806089,35.5646438806089,35.5646438806089,35.5646438806089,35.5646438806089,35.5646438806089,35.5646438806089,35.827072709218,35.827197773333,35.827163988008,35.8270475820217,35.8271198418404,35.8272697654759,35.8272053899459
77.5,7.24269434669057,35.564749613752,35.564749613752,35.564749613752,35.564749613752,35.564749613752,35.564749613752,35.564749613752,35.8272910727127,35.827416508172,35.8273844787479,35.8272667710745,35.8273379142685,35.8274885121822,35.8274237548347
77.6,7.24269434669057,35.5648564804466,35.5648564804466,35.5648564804466,35.5648564804466,35.5648564804466,35.5648564804466,35.5648564804466,35.8275129046078,35.8276387112779,35.8276084367408,35.8274894281095,35.8275594550932,35.8277107270318,35.8276455881244
77.7,7.24269434669057,35.5649645126219,35.5649645126219,35.5649645126219,35.5649645126219,35.5649645126219,35.5649645126219,35.5649645126219,35.8277382025844,35.827864380332,35.8278358596681,35.8277155508079,35.8277844619955,35.8279364077059,35.8278708874961
77.8,7.24269434669057,35.565073741352,35.565073741352,35.565073741352,35.565073741352,35.565073741352,35.565073741352,35.565073741352,35.8279669643514,35.8280935130432,35.8280667452392,35.8279451368789,35.8280129326844,35.8281655519135,35.8280996506589
77.9,7.24269434669057,35.5651841968781,35.5651841968781,35.5651841968781,35.5651841968781,35.5651841968781,35.5651841968781,35.5651841968781,35.8281991876453,35.8283261071479,35.8283010911908,35.8281781840588,35.8282448648963,35.8283981573912,35.8283318753491
78,7.24269434669057,35.5652959086304,35.5652959086304,35.5652959086304,35.5652959086304,35.5652959086304,35.5652959086304,35.5652959086304,35.8284348702289,35.8285621604091,35.8285388952862,35.8284146901108,35.8284802563941,35.8286342219017,35.8285675593295
78.1,7.24269434669057,35.565408905249,35.565408905249,35.565408905249,35.565408905249,35.565408905249,35.565408905249,35.565408905249,35.828674009891,35.8288016706154,35.8287801553145,35.8286546528236,35.8287191049665,35.8288737432339,35.828806700389
78.2,7.24269434669057,35.5655232146047,35.5655232146047,35.5655232146047,35.5655232146047,35.5655232146047,35.5655232146047,35.5655232146047,35.8289166044454,35.829044635581,35.8290248690901,35.8288980700112,35.8289614084274,35.8291167192019,35.8290492963414
78.3,7.24269434669057,35.565638863819,35.565638863819,35.565638863819,35.565638863819,35.565638863819,35.565638863819,35.565638863819,35.8291626517308,35.8292910531443,35.8292730344518,35.8291449395124,35.8292071646155,35.8293631476443,35.8292953450253
78.4,7.24269434669057,35.5657558792838,35.5657558792838,35.5657558792838,35.5657558792838,35.5657558792838,35.5657558792838,35.5657558792838,35.8294121496096,35.8295409211677,35.8295246492625,35.8293952591897,35.8294563713931,35.8296130264235,35.8295448443032
78.5,7.24269434669057,35.5658742866802,35.5658742866802,35.5658742866802,35.5658742866802,35.5658742866802,35.5658742866802,35.5658742866802,35.8296650959675,35.8297942375372,35.8297797114083,35.8296490269289,35.8297090266461,35.8298663534254,35.8297977920607
78.6,7.24269434669057,35.5659941109969,35.5659941109969,35.5659941109969,35.5659941109969,35.5659941109969,35.5659941109969,35.5659941109969,35.8299214887129,35.8300510001612,35.8300382187981,35.8299062406387,35.8299651282828,35.8301231265585,35.8300541862065
78.7,7.24269434669057,35.5661153765487,35.5661153765487,35.5661153765487,35.5661153765487,35.5661153765487,35.5661153765487,35.5661153765487,35.8301813257767,35.8303112069704,35.8303001693629,35.8301668982497,35.8302246742339,35.8303833437535,35.830314024671
