t,Q1,Q2,Q3,Q4,Q5,Q6,Q7
3.9,1.22856639855833,1.41916410256225,1.71504711120274,1.33007085262898,1.2033765366798,1.57228006279768,1.42730541716564
4,1.23308439607889,1.42413523356433,1.72210959892827,1.33557851584279,1.20751738793484,1.57724655447395,1.43182601588736
4.1,1.23760186413323,1.42910566637683,1.7291701419768,1.3410851290772,1.21165770581726,1.58221219246162,1.43634608403052
4.2,1.24211880277932,1.434075401093,1.73622874087988,1.3465906925272,1.21579749039095,1.58717697690782,1.44086562165622
4.3,1.24663521207519,1.4390444378062,1.74328539616889,1.3520952063878,1.21993674171995,1.59214090795968,1.44538462882551
4.4,1.2511510920789,1.44401277660996,1.75034010837506,1.35759867085401,1.22407545986837,1.59710398576424,1.44990310559945
4.5,1.2556664428486,1.44898041759793,1.75739287802946,1.36310108612087,1.22821364490045,1.60206621046851,1.45442105203908
4.6,1.26018126444241,1.4539473608639,1.76444370566301,1.36860245238342,1.23235129688048,1.60702758221945,1.4589384682054
4.7,1.26469555691856,1.45891360650181,1.77149259180647,1.37410276983675,1.23648841587289,1.61198810116395,1.46345535415944
4.8,1.26920932033529,1.46387915460568,1.77853953699045,1.37960203867592,1.24062500194217,1.61694776744887,1.46797170996219
4.9,1.27372255475088,1.46884400526971,1.78558454174541,1.38510025909602,1.24476105515291,1.62190658122103,1.47248753567461
5,0,0,-0,0,0,-0,-0
5.1,0,0,-0,0,0,-0,-0
5.2,0,0,-0,0,0,-0,-0
5.3,0,0,-0,0,0,-0,-0
5.4,0,0,-0,0,0,-0,-0
5.5,0,0,-0,0,0,-0,-0
5.6,0,0,-0,0,0,-0,-0
5.7,0,0,-0,0,0,-0,-0
5.8,0,0,-0,0,0,-0,-0
5.9,0,0,-0,0,0,-0,-0
6,0,0,-0,0,0,-0,-0
6.1,0,0,-0,0,0,-0,-0
6.2,0,0,-0,0,0,-0,-0
6.3,0,0,-0,0,0,-0,-0
6.4,0,0,-0,0,0,-0,-0
6.5,0,0,-0,0,0,-0,-0
6.6,0,0,-0,0,0,-0,-0
6.7,0,0,-0,0,0,-0,-0
6.8,0,0,-0,0,0,-0,-0
6.9,0,0,-0,0,0,-0,-0
7,0,0,-0,0,0,-0,-0
7.1,0,0,-0,0,0,-0,-0
7.2,0,0,-0,0,0,-0,-0
7.3,0,0,-0,0,0,-0,-0
7.4,0,0,-0,0,0,-0,-0
7.5,0,0,-0,0,0,-0,-0
7.6,0,0,-0,0,0,-0,-0
7.7,0,0,-0,0,0,-0,-0
7.8,0,0,-0,0,0,-0,-0
7.9,0,0,-0,0,0,-0,-0
8,0,0,-0,0,0,-0,-0
8.1,0,0,-0,0,0,-0,-0
8.2,0,0,-0,0,0,-0,-0
8.3,0,0,-0,0,0,-0,-0
8.4,0,0,-0,0,0,-0,-0
8.5,0,0,-0,0,0,-0,-0
8.6,0,0,-0,0,0,-0,-0
8.7,0,0,-0,0,0,-0,-0
8.8,0,0,-0,0,0,-0,-0
8.9,0,0,-0,0,0,-0,-0
9,0,0,-0,0,0,-0,-0
9.1,0,0,-0,0,0,-0,-0
9.2,0,0,-0,0,0,-0,-0
9.3,0,0,-0,0,0,-0,-0
9.4,0,0,-0,0,0,-0,-0
9.5,0,0,-0,0,0,-0,-0
9.6,0,0,-0,0,0,-0,-0
9.7,0,0,-0,0,0,-0,-0
9.8,0,0,-0,0,0,-0,-0
9.9,0,0,-0,0,0,-0,-0
10,0,0,-0,0,0,-0,-0
10.1,1.1155240348897,1.34554012606534,1.44387468701638,1.14245397551021,1.14765596184206,1.47274623690617,1.34037705643787
10.2,1.12130322181705,1.35191292852352,1.45302147313863,1.14954053034375,1.15295903388473,1.47912495353636,1.34615817991658
10.3,1.12708173564766,1.3582848436397,1.46216574802902,1.15662573978719,1.15826142710678,1.48550258610854,1.35193863219765
10.4,1.13285957646091,1.36465587155002,1.47130751237668,1.16370960409507,1.16356314160186,1.49187913481284,1.35771841336021
10.5,1.13863674433606,1.37102601239021,1.48044676687053,1.17079212352177,1.16886417746328,1.49825459983939,1.36349752348339
10.6,1.14441323935219,1.37739526629558,1.48958351219932,1.17787329832147,1.17416453478408,1.50462898137834,1.36927596264629
10.7,1.15018906158825,1.38376363340107,1.49871774905163,1.1849531287482,1.17946421365697,1.51100227961991,1.37505373092804
10.8,1.15596421112304,1.39013111384122,1.50784947811585,1.1920316150558,1.18476321417442,1.51737449475429,1.38083082840772
